序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
1,600589, 大位科技,5.76,9.92,0.394,0.388,4262.76,2.725,1.346,-1.44,-2.457,3,3,3,67.02,25.82,41.2,0.38,11.55,-11.17
2,603316, 诚邦股份,5.9,10.07,1.115,1.133,1093.35,2.028,3.879,1.486,3.816,1,3,3,32.35,13.92,18.43,56.33,27.28,29.05
3,000096, 广聚能源,18.43,10.03,0.201,0.195,771.89,0.205,0.688,0.91,2.059,3,3,8,71.49,24.6,46.89,0.88,21.5,-20.63
4,603949, 雪龙集团,14.3,10,0.421,0.542,498.13,0.505,2.777,0.548,3.343,1,3,5,52.68,15.2,37.48,12.26,20.72,-8.46
5,600280, 中央商场,3.77,9.91,2.093,2.391,209.35,2.398,6.266,2.358,1.247,1,3,5,66.87,3.49,63.38,12.55,21.4,-8.86
6,002298, 中电兴发,6.44,10.09,3.018,4.016,179.83,3.206,0.419,4.783,5.81,2,2,6,50.99,8.77,42.22,25.12,24.79,0.33
7,600355, 精伦电子,4.16,10.05,6.589,7.284,163.21,5.781,3.26,6.259,-9.81,1,2,4,54.15,3.86,50.28,21.92,18.67,3.25
8,002501, 利源股份,2.51,10.09,0.167,0.306,124.92,1.572,1.97,2.528,1.948,5,5,7,27.4,6.62,20.79,19.38,15.73,3.65
9,000529, 广弘控股,6.33,10.09,1.021,1.253,120.48,0.775,1.061,0.347,0.668,1,2,4,57.7,16.83,40.87,14.81,24.32,-9.51
10,603429, 集友股份,7.36,10.01,0.635,0.764,114.15,-0.569,-0.191,-1.294,-0.104,1,2,5,48.41,10.14,38.27,21.77,21.51,0.26
11,000536, 华映科技,5.96,9.96,2.617,3.08,110.62,1.667,-0.325,1.608,-0.881,2,2,4,52.54,7.45,45.09,16.48,19.76,-3.28
12,600203, 福日电子,12.17,10.04,2.428,2.62,107.78,6.612,8.893,2.99,1.225,2,3,4,46.41,13.37,33.04,9.37,13.6,-4.23
13,603421, 鼎信通讯,8.35,10.01,0.853,1.422,96.61,1.265,4.649,0.522,2.153,4,4,4,42.26,1.57,40.69,14.63,18.48,-3.84
14,002910, 庄园牧场,10.86,10.03,0.278,0.382,96.51,3.555,4.057,1.24,0.837,3,3,4,21.95,4.62,17.33,7.99,4.95,3.04
15,603626, 科森科技,9.56,10.01,3.627,4.391,90.22,2.878,1.625,2.74,2.683,1,2,5,44.76,10.81,33.95,23.05,23.56,-0.51
16,000868, 安凯客车,7.21,10.08,2.518,3.15,85.74,2.854,5.614,-0.435,-1.975,2,2,3,42.22,9.28,32.94,25.11,26.54,-1.43
17,002824, 和胜股份,19.18,9.98,4.152,6.95,77.72,4.997,8.295,2.741,2.938,2,4,5,30.64,7.26,23.38,25.45,18.51,6.94
18,002323, 雅博股份,1.89,9.88,2.119,2.615,77.4,2.385,4.31,2.041,2.14,3,4,7,37.34,6.56,30.78,25.32,22.92,2.4
19,603278, 大业股份,11.56,9.99,2.102,1.976,69.61,-0.542,-4.023,1.777,-2.495,1,2,5,50.3,11.79,38.51,18.83,26.45,-7.62
20,301090, 华润材料,8.36,19.94,1.51,1.608,69.43,1.419,1.955,1.056,1.549,1,2,3,41.43,7.48,33.95,20.95,20.79,0.17
21,002889, 东方嘉盛,22.56,10,2.425,3.058,69.15,2.378,1.854,1.642,-0.17,2,3,5,42.08,10.4,31.68,20.34,22.59,-2.25
22,600246, 万通发展,6.9,10.05,1.15,1.79,62.45,2.575,5.474,2.786,6.785,2,4,6,30.49,10.54,19.95,26.61,21.92,4.69
23,002058, 威尔泰,12.61,10.03,2.594,2.775,60.83,-4.025,-11.575,-5.033,-6.037,1,2,3,35.42,0,35.42,18.72,18.87,-0.16
24,000893, 亚钾国际,23.53,0.09,0.253,0.649,55.64,0.247,1.221,-0.163,0.486,2,3,4,11.76,6.78,4.98,36.91,25.4,11.51
25,300134, 大富科技,15.38,19.97,2.282,2.742,54.95,2.286,1.829,1.936,0.219,1,3,4,39.15,11.39,27.76,22.85,26.85,-4
26,002097, 山河智能,8.86,10.06,1.875,2.745,54.2,3.034,6.781,2.23,4.766,5,5,6,33.25,11.29,21.96,24.51,24.38,0.13
27,300328, 宜安科技,10.72,19.11,3.566,7.52,53.74,4.638,7.375,3.387,7.145,2,4,5,29.04,13.37,15.67,28.57,27.99,0.58
28,600052, 东望时代,4.77,4.61,0.44,1.862,51.81,0.285,1.635,-0.159,0.802,2,2,3,15.96,13.92,2.05,26.32,15.57,10.75
29,600302, 标准股份,6.04,10.02,0.489,1.523,51.1,0.752,0.765,0.499,0.218,2,2,3,24.56,1.86,22.7,11.03,19.53,-8.5
30,000980, 众泰汽车,2.39,8.64,1.978,2.479,49.83,1.823,1.297,1.101,-1.778,1,2,3,37.73,14.7,23.03,19.4,19.29,0.11
31,600996, 贵广网络,10,10.01,0.788,0.68,49.69,0.494,1.282,0.727,1.83,1,3,5,48,14.19,33.81,17.32,26.02,-8.7
32,000801, 四川九洲,18.56,10.02,3.826,4.086,49.67,4.114,7.024,2.254,4.106,1,2,3,35.26,11.45,23.8,24.37,24.12,0.25
33,000931, 中 关 村,4.91,0.61,0.571,2.155,48.41,0.661,1.887,0.691,2.524,3,3,6,3.12,3.52,-0.4,29.7,11.55,18.16
34,300121, 阳谷华泰,13.7,5.38,1.175,3.831,47.03,1.673,7.503,1.102,6.692,2,3,4,9.45,3.63,5.82,31.34,21.6,9.74
35,603389, 亚振家居,6.45,10.07,1.748,2.075,46.83,2.429,6.684,3.306,11.047,3,4,7,24.94,0.73,24.2,22.04,17.98,4.06
36,601969, 海南矿业,6.78,1.35,0.103,0.497,46.78,-0.081,0.219,-0.224,0.108,1,1,2,15.7,2.73,12.97,19.99,20.42,-0.43
37,603810, 丰山集团,11.33,1.07,0.543,1.691,46.42,-0.031,1.908,-0.078,1.7,1,2,4,6.05,0.97,5.08,25.41,9.37,16.04
38,688655, 迅捷兴,15.05,14.02,2.125,3.397,46.28,1.776,1.117,1.57,2.996,2,2,4,19.22,9.48,9.74,36.06,27.1,8.96
39,688166, 博瑞医药,35,5.58,0.664,0.995,46.21,0.719,-0.908,0.232,-1.348,3,3,4,22.41,9.66,12.75,37.45,33.64,3.81
40,603915, 国茂股份,20.48,9.99,0.81,1.033,45.97,2.751,8.343,1.761,5.077,2,4,6,33.93,13.74,20.19,26.6,28.03,-1.44
41,603956, 威派格,11,10,3.618,3.846,45.95,-1.013,-7.273,-2.978,-16.519,1,1,2,35.65,12.63,23.03,22.13,22.07,0.06
42,300507, 苏奥传感,7.83,3.03,0.975,3.643,45.87,1.027,1.194,-0.811,-3.517,1,3,3,7.99,3.43,4.56,31,21.37,9.63
43,001207, 联科科技,23.79,5.78,0.725,1.182,45.84,0.87,-0.204,0.198,0.08,2,3,4,20.23,7.19,13.04,30.59,23.72,6.87
44,601798, 蓝科高新,6.59,2.81,0.667,2.074,45.82,0.235,3.126,0.069,3.398,1,2,3,13.46,5.31,8.15,22.3,12.07,10.23
45,002544, 普天科技,22.9,2.6,0.449,1.216,45.16,0.698,1.803,0.466,1.298,2,3,4,10.29,4.6,5.7,30.62,18.98,11.64
46,600841, 动力新科,6.07,9.96,1.181,2.303,43.02,2.045,4.393,1.78,2.873,2,4,5,28.25,12.95,15.3,23.43,22.27,1.16
47,601225, 陕西煤业,19.57,0.1,0.082,0.159,42.57,0.066,0.131,0.181,0.062,3,3,6,11.45,5.76,5.7,32.03,18.16,13.87
