序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
24,893, 亚钾国际,23.53,0.09,0.253,0.649,55.64,0.247,1.221,-0.163,0.486,2,3.0,4,11.76,6.78,4.98,36.91,25.4,11.51
33,931, 中 关 村,4.91,0.61,0.571,2.155,48.41,0.661,1.887,0.691,2.524,3,3.0,6,3.12,3.52,-0.4,29.7,11.55,18.16
36,601969, 海南矿业,6.78,1.35,0.103,0.497,46.78,-0.081,0.219,-0.224,0.108,1,1.0,2,15.7,2.73,12.97,19.99,20.42,-0.43
37,603810, 丰山集团,11.33,1.07,0.543,1.691,46.42,-0.031,1.908,-0.078,1.7,1,2.0,4,6.05,0.97,5.08,25.41,9.37,16.04
44,601798, 蓝科高新,6.59,2.81,0.667,2.074,45.82,0.235,3.126,0.069,3.398,1,2.0,3,13.46,5.31,8.15,22.3,12.07,10.23
45,2544, 普天科技,22.9,2.6,0.449,1.216,45.16,0.698,1.803,0.466,1.298,2,3.0,4,10.29,4.6,5.7,30.62,18.98,11.64
47,601225, 陕西煤业,19.57,0.1,0.082,0.159,42.57,0.066,0.131,0.181,0.062,3,3.0,6,11.45,5.76,5.7,32.03,18.16,13.87
50,1338, 永顺泰,11.11,-1.86,0.577,2.952,41.88,0.977,7.833,0.32,5.431,2,2.0,3,7.27,4.28,2.99,23.66,14.01,9.65
51,600004, 白云机场,9.1,-0.76,0.052,0.264,41.56,-0.067,0.584,-0.341,0.92,1,2.0,2,10.98,10.15,0.83,27.08,17.92,9.15
52,300721, 怡达股份,13.12,1.39,0.781,2.059,41.53,-0.059,0.09,-0.496,0.195,1,1.0,2,5.17,0.0,5.17,27.95,12.47,15.48
53,2004, 华邦健康,3.85,-0.77,0.099,0.408,41.42,0.098,1.139,0.082,0.599,1,3.0,5,13.15,2.69,10.46,20.33,16.75,3.58
60,2589, 瑞康医药,3.02,-0.33,0.332,0.587,38.77,-0.002,0.283,-0.092,0.29,1,3.0,5,10.87,1.87,8.99,29.3,17.75,11.55
61,600595, 中孚实业,3.67,0.55,0.394,0.57,38.28,-0.363,0.501,-0.425,-1.625,1,2.0,4,8.6,4.25,4.35,38.79,23.38,15.41
62,300238, 冠昊生物,13.31,1.22,0.53,2.78,37.97,0.459,2.089,0.182,-0.103,2,3.0,5,9.99,0.92,9.07,23.33,21.79,1.54
64,300327, 中颖电子,26.48,1.26,0.816,3.114,37.59,1.998,3.902,1.18,4.236,4,4.0,4,10.6,7.56,3.05,26.91,17.92,9.0
65,603669, 灵康药业,4.96,0.61,0.271,1.081,37.36,-0.368,0.044,-1.61,-0.987,1,1.0,2,9.37,0.54,8.83,21.99,16.63,5.35
68,2155, 湖南黄金,17.48,0.46,0.46,0.844,37.09,-0.589,-1.861,-1.839,-3.443,1,1.0,3,18.59,9.69,8.89,30.64,24.44,6.2
69,600583, 海油工程,5.04,-0.2,0.071,0.174,36.93,0.113,1.439,0.067,2.831,1,2.0,5,16.43,2.15,14.27,26.01,25.74,0.27
70,883, 湖北能源,4.69,-0.85,0.047,0.12,36.68,0.099,0.321,0.158,0.402,1,4.0,7,7.47,4.92,2.55,30.16,16.74,13.42
